"ウィンドウ","「システム・メニュー」を表示","⇧⌘F10","ウィンドウ","org.eclipse.ui.window.showSystemMenu"
"テキスト編集","ズームアウト","⌘-","テキストの編集","org.eclipse.ui.edit.text.zoomOut"
"結果セット","Select column(s)","⌃⌥C","結果ビューアのコンテキスト","org.jkiss.dbeaver.core.resultset.grid.selectColumn"
"テキスト編集","行の先頭","⌘←","テキストの編集","org.eclipse.ui.edit.text.goto.lineStart"
"結果セット","テーブルの参照","⌃⇧1","結果ビューアのコンテキスト","org.jkiss.dbeaver.core.resultset.referencesMenu"
"テキスト編集","行をコピー","⌥⌘↓","テキストの編集","org.eclipse.ui.edit.text.copyLineDown"
"結果セット","すべてのデータを取得する","⌃⇧=","結果ビューアのコンテキスト","org.jkiss.dbeaver.core.resultset.fetch.all"
"ナビゲート","前へ","⇧⌘.","ウィンドウ","org.eclipse.ui.navigate.previous"
"データベースナビゲータ","ブックマークを追加","⌃⌥⇧D","Database navigator view context","org.jkiss.dbeaver.core.navigator.bookmark.add"
"テキスト編集","展開","⌘＋","テキストの編集","org.eclipse.ui.edit.text.folding.expand"
"結果セット","最初の行","⌃⌥⇧←","結果ビューアのコンテキスト","org.jkiss.dbeaver.core.resultset.row.first"
"結果セット","フィルタメニュー","F11","結果ビューアのコンテキスト","org.jkiss.dbeaver.core.resultset.filterMenu"
"テキスト編集","前の単語を削除","⌥⌫","テキストの編集","org.eclipse.ui.edit.text.deletePreviousWord"
"ヘルプ","Show Context Help","F1","ウィンドウ","org.eclipse.ui.help.dynamicHelp"
"結果セット","グリッド/レコードビューの切り替え","タブ","結果ビューアのコンテキスト","org.jkiss.dbeaver.core.resultset.toggleMode"
"データベースナビゲータ","デフォルトとして設定","⌃⇧A","ウィンドウ","org.jkiss.dbeaver.core.navigator.set.default"
"View","Zoom Out","⌘-","ウィンドウ","org.eclipse.gef3.zoom_out"
"SQLエディタ","以前のクエリ","⌥↑","SQLスクリプトエディタコンテキスト","org.jkiss.dbeaver.ui.editors.sql.query.prev"
"結果セット","次のページを取得する","⌃⌥;","結果ビューアのコンテキスト","org.jkiss.dbeaver.core.resultset.fetch.page"
"ナビゲート","すべてを折りたたむ","⇧⌘÷","ウィンドウ","org.eclipse.ui.navigate.collapseAll"
"ウィンドウ","検索アクション","⌘3","ウィンドウ","org.eclipse.ui.window.quickAccess"
"結果セット","セルの変更をリセットする","Esc","結果ビューアのコンテキスト","org.jkiss.dbeaver.core.resultset.cell.reset"
"ナビゲート","前ページ","⌥⇧F7","ウィンドウ","org.eclipse.ui.part.previousPage"
"ウィンドウ","次のパースペクティブ","⌘F8","ウィンドウ","org.eclipse.ui.window.nextPerspective"
"テキスト編集","前の単語を選択","⌥⇧←","テキストの編集","org.eclipse.ui.edit.text.select.wordPrevious"
"テキスト編集","すべて展開","⌘×","テキストの編集","org.eclipse.ui.edit.text.folding.expand_all"
"編集","単語補完","⌃.","テキストの編集","org.eclipse.ui.edit.text.hippieCompletion"
"クイック検索","クイック検索","⌃⌥⇧F","ウィンドウ","org.eclipse.text.quicksearch.commands.quicksearchCommand"
